,Apartment,Address,City
0,Six50 Live,650 Live Oak Avenue,Menlo Park
1,Elan Menlo Park,3645 Haven Ave,Menlo Park
2,Sharon Green,350 Sharon Park Dr,Menlo Park
3,700 Coleman Avenue,700 Coleman Ave,Menlo Park
4,20 Willow RD 45,20 Willow Road,Menlo Park
5,866 Woodland CT,866 Woodland Court,Menlo Park
6,309 University DR,309 University Drive,Menlo Park
7,404 Central Ave,404 Central Avenue,Menlo Park
8,165 E OKeefe St,165 O'keefe Street,Menlo Park
9,731 Bay Road,731 Bay Road,Menlo Park
10,21 Waverley Ct 3,21 Waverley Court,Menlo Park
11,584 Sand Hill Circle,584 Sand Hill Circle,Menlo Park
12,303 Concord Dr,303 Concord Drive,Menlo Park
13,1265 El Camino Real,1265 El Camino Real,Menlo Park
14,676 Sand Hill Circle,676 Sand Hill Circle,Menlo Park
15,1048 Marcussen Drive,1048 Marcussen Drive,Menlo Park
16,1223 WHITAKER WY,1223 Whitaker Way,Menlo Park
17,12 Iris Lane,12 Iris Lane,Menlo Park
18,675 Sharon Park Drive #121,675 Sharon Park Drive,Menlo Park
19,2315 Eastridge Avenue #715,2315 Eastridge Avenue,Menlo Park
20,734 Live Oak Ave,734 Live Oak Avenue,Menlo Park
21,1307 University Drive,1307 University Drive,Menlo Park
22,1083 Laurel Street,1083 Laurel Street,Menlo Park
23,452 Waverley St,452 Waverley Street,Menlo Park
