,Bedroom,Price
0,1 Bedroom,3630
1,3 Bedrooms,0
2,4 Bedrooms,0
3,1 Bedroom,2601
4,2 Bedrooms,3591
5,3 Bedrooms,4241
6,1 Bedroom,3456
7,2 Bedrooms,3881
8,3 Bedrooms,5185
9,1 Bedroom,2350
10,2 Bedrooms,2850
11,2 Bedrooms,3700
12,3 Bedrooms,0
13,3 Bedrooms,5575
14,4 Bedrooms,9500
15,1 Bedroom,2950
16,2 Bedrooms,2700
17,2 Bedrooms,3995
18,1 Bedroom,2995
19,2 Bedrooms,0
20,3 Bedrooms,0
21,3 Bedrooms,5850
22,2 Bedrooms,4499
23,Studio,1500
24,3 Bedrooms,5000
25,4 Bedrooms,4500
26,5 Bedrooms,7000
27,3 Bedrooms,4000
28,1 Bedroom,2095
29,2 Bedrooms,0
30,2 Bedrooms,3450
31,3 Bedrooms,0
32,2 Bedrooms,2599
33,4 Bedrooms,5900
34,1 Bedroom,2800
35,1 Bedroom,3300
