,Apartment,Address,City
0,Riva Terra Apartments at Redwood Shores,850 Davit Ln,Redwood City
1,Avenue Two,1107 2nd Ave,Redwood City
2,Huxley,1355 El Camino Real,Redwood City
3,Franklin 299,299 Franklin St,Redwood City
4,Blu Harbor by Windsor,1 Blu Harbor Boulevard,Redwood City
5,Sofi Redwood Park,1212 Whipple Ave,Redwood City
6,Encore,855 Veterans Blvd,Redwood City
7,885 Woodside,885 Woodside Rd,Redwood City
8,Velocity at Sequoia Station Apartments,1331 Jefferson Avenue,Redwood City
9,The Marston by Windsor,825 Marshall St,Redwood City
10,Indian Creek,801 Marine Pkwy,Redwood City
11,Pescadero Apartments,950 Redwood Shores Pkwy,Redwood City
12,201 Marshall Apartments,201 Marshall St,Redwood City
13,Brewster Place,600 Brewster Avenue,Redwood City
14,62 Duane Street,62 Duane Street,Redwood City
15,Indigo Apartment Homes,675 Bradford Street,Redwood City
16,707 Leahy Apartments,707 Leahy St,Redwood City
17,364 Meridian Drive,364 Meridian Drive,Redwood City
18,440 Madison Avenue,440 Madison Avenue,Redwood City
19,462 Barkentine LN,462 Barkentine Lane,Redwood City
20,1443 Kentfield AVE 7,1443 Kentfield Avenue,Redwood City
21,514 Carlos AVE,514 Carlos Avenue,Redwood City
22,518 Cedar ST 522A,518 Cedar Street,Redwood City
23,520 Cedar ST,520 Cedar Street,Redwood City
