,Bedroom,Price
0,1 Bedroom,2107
1,2 Bedrooms,2835
2,Studio,0
3,1 Bedroom,1799
4,2 Bedrooms,2790
5,Studio,2470
6,1 Bedroom,2675
7,2 Bedrooms,3960
8,Studio,1977
9,1 Bedroom,2463
10,2 Bedrooms,3630
11,Studio,2515
12,1 Bedroom,2850
13,2 Bedrooms,3990
14,Studio,0
15,1 Bedroom,2347
16,2 Bedrooms,2642
17,1 Bedroom,2973
18,2 Bedrooms,4176
19,3 Bedrooms,5124
20,1 Bedroom,0
21,2 Bedrooms,3699
22,3 Bedrooms,0
23,1 Bedroom,2095
24,Studio,0
25,1 Bedroom,2940
26,2 Bedrooms,3330
27,1 Bedroom,2853
28,2 Bedrooms,3536
29,1 Bedroom,2720
30,2 Bedrooms,3849
31,Studio,2611
32,1 Bedroom,2650
33,2 Bedrooms,3130
34,1 Bedroom,2455
35,2 Bedrooms,0
36,1 Bedroom,2050
37,Studio,2052
38,1 Bedroom,2277
39,2 Bedrooms,3482
40,Studio,2350
41,1 Bedroom,3070
42,2 Bedrooms,3845
43,2 Bedrooms,3600
44,3 Bedrooms,3900
45,3 Bedrooms,4980
46,1 Bedroom,1900
47,3 Bedrooms,4250
48,1 Bedroom,1900
49,1 Bedroom,2800
