,Apartment,Address,City
0,1516-1520 South Claremont Street,1516 South Claremont Street,San Mateo
1,33 Lodato Avenue Apartments,33 Lodato Avenue,San Mateo
2,Chesapeake Point Apartments,1633 Marina Ct,San Mateo
3,Metropolitan Apartments,338 S Fremont St,San Mateo
4,55 West Fifth Apartments,55 W 5th Ave,San Mateo
5,Park Place at San Mateo,1101 Park Pl,San Mateo
6,Creekside,1600 E 3rd Ave,San Mateo
7,The Morgan,2901 East Kyne Street,San Mateo
8,Mosaic San Mateo,3110 Casa de Campo,San Mateo
9,The Russell,3098 Kyne Street W,San Mateo
10,Quimby,3068 Kyne Street W,San Mateo
11,Field House at Bay Meadows,282 Pony Lane,San Mateo
12,Ryan Tower,120 W 3rd Ave,San Mateo
13,MONTEREY GARDEN APARTMENTS,150 West 3rd Avenue,San Mateo
14,Mode,2089 Pacific Blvd,San Mateo
15,Crown Towers,3214 Palos Verdes Court,San Mateo
16,Oakview Apartments,3135 Campus Dr,San Mateo
17,Glendora Apartments,1300 Overland Drive,San Mateo
18,The Pines Apartments,1333 Palos Verdes Drive,San Mateo
19,Bridgepointe Apartment Homes,1987 Bridgepointe Pkwy,San Mateo
20,Flores Manor,100 27th Ave,San Mateo
21,Hayward Park Terrace,33 Hayward Avenue,San Mateo
22,Park Royal,651 N El Camino Real,San Mateo
23,Laurel Crossing Apartment Homes,203 Laurie Meadows Dr,San Mateo
