,Bedroom,Price
0,Studio,3209
1,1 Bedroom,3115
2,2 Bedrooms,4321
3,Studio,2395
4,1 Bedroom,2490
5,2 Bedrooms,3562
6,Studio,2786
7,1 Bedroom,3281
8,2 Bedrooms,4678
9,1 Bedroom,2882
10,2 Bedrooms,4493
11,1 Bedroom,2953
12,2 Bedrooms,4899
13,1 Bedroom,2911
14,2 Bedrooms,3950
15,Studio,0
16,1 Bedroom,2788
17,2 Bedrooms,3732
18,Studio,0
19,1 Bedroom,2611
20,2 Bedrooms,2864
21,1 Bedroom,2305
22,2 Bedrooms,3186
23,Studio,1795
24,1 Bedroom,0
25,2 Bedrooms,2695
26,1 Bedroom,1915
27,2 Bedrooms,2245
28,Studio,1899
29,1 Bedroom,0
30,2 Bedrooms,2499
31,1 Bedroom,0
32,2 Bedrooms,2545
33,3 Bedrooms,0
34,Studio,2520
35,1 Bedroom,2530
36,2 Bedrooms,3485
37,1 Bedroom,2515
38,2 Bedrooms,2680
39,3 Bedrooms,3350
40,1 Bedroom,1870
41,2 Bedrooms,2220
42,1 Bedroom,2157
43,2 Bedrooms,2625
44,3 Bedrooms,3330
45,Studio,1945
46,1 Bedroom,0
47,2 Bedrooms,2795
48,1 Bedroom,1695
49,1 Bedroom,2852
50,2 Bedrooms,3795
51,Studio,0
52,1 Bedroom,1795
53,2 Bedrooms,2545
54,Studio,1495
55,Studio,0
56,1 Bedroom,1825
57,2 Bedrooms,2950
58,1 Bedroom,1795
59,2 Bedrooms,2350
